pickup_node,dropoff_node,manhattan_distance,taxi_duration,bus_duration,buses,unique_buses,bus_ride_distance,walking_distance
3004844987,42430034,3570,735,2969,2,2,2605,2312
3212472811,5147808597,1758,180,1189,1,1,1563,677
4276517106,4493840519,1120,300,839,0,0,0,1007
42436381,1773084392,1851,540,1291,1,1,587,1267
4019254385,2564031178,2625,600,1702,0,0,0,2043
42439275,5509380206,1352,480,1224,0,0,0,1469
42435599,2823833550,1174,300,1152,1,1,744,1025
42435646,4597668039,2073,600,1573,2,2,1121,1349
5155816417,5829907363,914,302,861,0,0,0,1033
42436582,42428411,4395,780,2330,1,1,2947,1382
42429562,4234425012,6100,1200,3543,1,1,2947,2837
5244228882,3314293707,2742,859,1833,1,1,1098,1672
42435645,4625652074,1247,480,1060,1,1,468,1047
42436374,42435646,3913,540,2260,1,1,1379,2050
42445534,2324482260,1177,274,925,1,1,549,847
4166338962,1751440889,1498,420,1074,1,1,1954,351
2823833446,5851709098,2656,204,1668,0,0,0,2002
5783022062,588455740,1017,152,671,1,1,650,493
42455867,42437540,4260,600,2736,0,0,0,3283
42427786,42430249,2017,360,1332,1,1,718,1253
4320194254,42430857,397,60,382,0,0,0,458
4216045805,5481937335,969,352,989,0,0,0,1186
4685453642,42449570,2066,546,1490,1,1,588,1505
5413254263,42427249,4163,1079,2870,2,2,1808,2576
596775882,5266421747,3592,446,2460,1,1,583,2673
4205565526,3857368436,749,120,470,0,0,0,564
1514353072,42444051,1943,526,1858,1,1,1797,1367
42430646,3955360021,2383,1500,1645,1,1,468,1749
4205565530,5263790014,464,120,341,0,0,0,409
42430646,4555501892,1837,480,1536,0,0,0,1844
1279337144,4557517554,4203,777,2795,2,2,3247,1795
4872626639,3252586222,2592,688,1976,2,2,1602,1603
42431519,42436947,2271,803,2014,1,1,549,2153
4158814314,42434201,2331,480,1562,0,0,0,1874
42433625,3254626250,1232,180,737,0,0,0,885
4310400299,3463814538,1181,551,1040,0,0,0,1248
1289222429,42428460,3733,540,2440,2,2,1141,2380
805765088,42434946,1615,665,973,0,0,0,1167
42444414,42434800,5942,1200,3679,1,1,2760,3090
3977886226,3942050707,714,120,413,0,0,0,495
42444832,42439842,3408,1020,2383,2,1,1718,2035
4207957613,42430249,2972,620,1775,2,2,2069,1136
3573482109,42430282,3276,1440,2087,1,1,3347,897
4234425042,3977886186,2444,540,1534,0,0,0,1841
4234578190,42427371,1363,240,966,2,2,1250,559
3874589908,3955360015,3310,780,2373,1,1,857,2436
42453406,42439096,2918,480,2122,0,0,0,2547
4546109658,3944708044,1229,420,1163,0,0,0,1396
42437654,5244228888,2238,510,1541,1,1,1154,1296
42446701,596775867,1792,360,1321,0,0,0,1585
5538485407,4960516273,2709,1047,1997,1,1,468,2172
2723627045,2824895141,8886,1589,5370,4,4,4692,4192
3670742482,42434807,1639,329,1249,1,1,983,1027
5481887476,42437654,991,360,884,1,1,1079,542
42440951,42429373,4569,817,2762,1,1,558,3046
5235625492,42445417,2288,660,1361,1,1,296,1491
2165157811,246648107,4244,1620,2974,3,3,1867,2672
42436326,3971196623,6981,744,3920,1,1,2422,3541
2384399598,42446971,1320,570,1111,1,1,1021,843
3859048179,589100164,2073,420,1291,1,1,826,1152
42432818,5813259903,8880,1320,5299,3,3,3325,4763
1692433915,42429830,2023,660,1394,0,0,0,1673
4236104523,42421877,1117,240,750,1,1,532,645
1773084413,42440323,2016,550,1140,1,1,566,1096
42444985,3627218173,3157,796,2329,2,2,2359,1662
4115968602,3977886858,2745,801,2115,1,1,1111,2004
4597668043,42430338,1366,537,956,1,1,1407,471
42439096,401875397,5761,795,3880,2,2,1313,4025
3762705813,5837174092,873,239,759,0,0,0,911
42449576,4320194279,1066,195,1076,0,0,0,1292
3875120004,4443775465,1144,240,677,1,1,654,498
42445896,3977886236,2343,360,1410,0,0,0,1692
42456543,4298773012,1592,360,1031,0,0,0,1237
42429377,5244228883,338,144,261,0,0,0,313
42434205,42446935,2565,360,1748,1,1,2598,851
5413254263,3857334399,2008,771,1261,0,0,0,1513
3308681106,42445888,2430,900,1729,1,1,1407,1399
4782404427,4782442659,2740,544,1704,1,1,607,1754
4206998243,5708140036,420,131,369,0,0,0,443
5829779488,4129804731,2017,360,1395,0,0,0,1674
1291420907,42428183,2582,840,1756,0,0,0,2108
2376384477,42431519,2362,900,1775,1,1,768,1761
42435657,1751440888,807,459,784,0,0,0,940
3670742472,42434951,2089,360,1186,1,1,583,1144
42449945,5651033419,1923,300,1035,1,1,468,1018
3601295731,1773084407,2127,325,1463,1,1,566,1484
42442276,42435581,1684,360,1259,1,1,588,1228
3914863406,4443775464,1053,271,1121,0,0,0,1346
4322008119,42435470,5568,1620,3650,2,2,4355,2290
4207150080,2572245396,898,420,693,0,0,0,832
5235625493,5266421745,2166,540,1537,2,2,1280,1230
5296792749,42432679,3140,579,2111,0,0,0,2533
5780135038,1253070812,2688,540,1585,1,1,587,1621
3826754271,5319114463,971,193,697,1,1,1329,199
42434087,42431556,2255,615,1500,1,1,1111,1266
42445382,5159453779,4400,780,2800,1,1,2360,2228
42440340,1828749428,7902,1127,4819,3,3,4027,3849
42430259,42445947,4622,600,2749,2,1,1191,2727
465132521,42454401,2839,540,2219,0,0,0,2663
3009534488,42432085,3183,936,2065,1,1,2760,1153
42439842,5244228881,2008,240,1247,0,0,0,1497
42435650,4597668029,1979,480,1494,1,1,721,1447
596775919,5159452346,6173,1560,3854,1,1,2360,3492
42445505,4685462242,2291,660,1336,1,1,588,1320
42438889,42434946,1732,660,1230,1,1,1833,596
2792781448,42429374,5497,1495,3296,2,1,1191,3383
42431611,42446521,3412,700,2091,0,0,0,2509
42427427,42429900,2138,360,1210,1,1,826,1055
42438674,5858721092,1724,360,1204,1,1,654,1130
42430811,3670742439,1005,300,926,0,0,0,1111
3944708033,805764974,594,720,580,0,0,0,696
2985573626,1758008333,2822,600,1686,1,1,654,1709
42444960,4205565523,1476,153,1173,0,0,0,1408
4236104524,5243716994,802,299,602,0,0,0,722
3985008869,4143835689,4855,814,2956,2,2,1889,2640
42432246,42446547,2703,1020,1869,1,1,1563,1492
2840192831,42430320,2158,504,1520,1,1,2007,861
42430603,3463815151,2784,228,1657,1,1,1266,1380
5475605298,5829844680,5601,1188,3204,1,1,2947,2430
3817756011,42436064,4691,780,2737,2,2,3249,1724
42428223,42434412,5972,976,3425,2,2,2527,2897
1659428536,5815643269,1069,600,866,0,0,0,1040
42429888,2714921385,2561,600,1681,1,1,628,1716
4132605270,4376122101,1989,244,1334,1,1,2360,468
4443775465,42444049,1980,545,1501,2,2,1823,927
4298781038,4132605272,1272,523,1144,0,0,0,1372
42439955,42449954,1620,404,1344,1,1,1797,751
3875091621,5458544540,1744,600,1538,1,1,650,1533
42436400,42435596,868,300,575,0,0,0,690
3977886198,1514352962,2733,673,2097,1,1,2301,1412
42437084,42430603,4985,1290,3242,2,2,3911,2013
4235738198,42430338,3294,1198,2441,2,2,3201,1393
4634753634,4234425055,2719,813,2302,2,2,1403,2088
1692433919,4625653597,4168,900,2598,2,2,1141,2570
719516045,3790180110,5066,1304,3218,3,3,2636,2596
348152933,4782363328,2323,1046,2200,1,1,1266,2032
