pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-11-05 02:53:29,2013-11-05 03:00:43,-74.00373,40.74238,-73.99953,40.76141
2013-11-01 10:46:51,2013-11-01 10:54:25,-73.98075,40.747776,-73.97191,40.761875
2013-11-01 06:49:00,2013-11-01 06:59:00,-74.0062,40.7344,-73.97843,40.759872
2013-11-02 01:10:48,2013-11-02 01:17:30,-73.989716,40.732594,-73.97968,40.744022
2013-11-05 21:34:14,2013-11-05 21:44:36,-73.97887,40.76207,-74.0029,40.760445
2013-11-04 01:14:28,2013-11-04 01:24:43,-73.988716,40.73112,-73.98877,40.719624
2013-11-03 22:30:48,2013-11-03 22:36:26,-73.97986,40.75252,-73.988,40.744106
2013-11-01 13:29:55,2013-11-01 13:40:26,-73.98003,40.74607,-73.97383,40.760113
2013-11-05 10:39:00,2013-11-05 10:44:00,-73.97463,40.751392,-73.980705,40.741096
2013-11-04 18:14:07,2013-11-04 18:18:07,-73.98905,40.737328,-73.97874,40.741028
2013-11-06 20:29:43,2013-11-06 20:34:21,-74.00969,40.722626,-74.01587,40.715397
2013-11-02 22:31:00,2013-11-02 22:37:00,-73.99032,40.73784,-73.98034,40.732418
2013-11-06 02:39:00,2013-11-06 02:44:00,-74.00443,40.71947,-74.006195,40.708607
2013-11-06 14:50:59,2013-11-06 15:08:48,-73.97797,40.75697,-74.01599,40.714848
2013-11-01 13:19:00,2013-11-01 13:42:00,-73.97466,40.753506,-73.99128,40.75011
2013-11-03 00:52:35,2013-11-03 01:08:26,-74.00668,40.716557,-73.97243,40.759293
2013-11-06 22:04:00,2013-11-06 22:08:00,-73.97225,40.76267,-73.977684,40.76303
2013-11-02 19:06:00,2013-11-02 19:13:00,-73.979935,40.754677,-73.98539,40.744003
2013-11-07 08:51:00,2013-11-07 09:10:00,-74.00445,40.7158,-73.99236,40.749493
2013-11-06 22:02:00,2013-11-06 22:09:00,-73.98431,40.726425,-73.98741,40.738876
2013-11-06 12:30:00,2013-11-06 12:42:00,-73.991264,40.755016,-74.00449,40.74213
2013-11-01 21:14:00,2013-11-01 21:23:00,-73.97461,40.74223,-73.98684,40.73944
2013-11-03 03:27:26,2013-11-03 03:39:41,-73.99759,40.75167,-73.99585,40.720882
2013-11-03 13:40:00,2013-11-03 13:43:00,-73.99082,40.718025,-73.98363,40.728386
2013-11-01 04:18:00,2013-11-01 04:23:00,-73.98769,40.74083,-73.99064,40.748676
2013-11-05 21:31:37,2013-11-05 21:40:37,-74.00678,40.73105,-73.9918,40.725754
2013-11-01 14:26:00,2013-11-01 14:36:00,-73.970955,40.75824,-73.98175,40.742805
2013-11-05 10:30:00,2013-11-05 10:38:00,-73.998314,40.74048,-73.99653,40.729668
2013-11-04 18:24:00,2013-11-04 18:29:00,-74.00158,40.741035,-74.00298,40.750538
2013-11-02 11:49:00,2013-11-02 11:59:00,-73.992615,40.75351,-73.98757,40.73868
2013-11-07 14:34:47,2013-11-07 14:39:49,-73.99996,40.733078,-73.99823,40.72617
2013-11-02 20:47:00,2013-11-02 21:00:00,-73.98397,40.740353,-74.00437,40.716278
2013-11-01 20:51:00,2013-11-01 21:11:00,-74.0091,40.713573,-73.9785,40.745243
2013-11-03 00:55:37,2013-11-03 01:09:56,-74.00185,40.73538,-73.98771,40.721424
2013-11-07 07:44:00,2013-11-07 07:52:00,-73.99305,40.75249,-73.980255,40.754017
2013-11-02 17:44:00,2013-11-02 17:53:00,-74.00682,40.729282,-73.992386,40.75354
2013-11-04 20:19:21,2013-11-04 20:23:55,-73.99309,40.727898,-73.98043,40.7269
2013-11-07 07:08:00,2013-11-07 07:15:00,-73.97965,40.74472,-73.98385,40.755016
2013-11-02 01:43:07,2013-11-02 01:46:31,-74.00706,40.74383,-73.9957,40.759117
2013-11-03 23:56:28,2013-11-03 23:59:00,-73.98901,40.722935,-73.99022,40.7147
2013-11-02 21:40:00,2013-11-02 21:50:00,-73.98707,40.725224,-74.010445,40.704628
2013-11-05 19:55:00,2013-11-05 20:01:00,-73.98682,40.745426,-73.997086,40.73506
2013-11-07 06:28:00,2013-11-07 06:29:00,-73.99963,40.733456,-73.99512,40.733303
2013-11-03 01:42:26,2013-11-03 01:48:18,-73.98241,40.727684,-73.99339,40.72729
2013-11-04 11:36:39,2013-11-04 11:45:45,-74.00534,40.737064,-74.00162,40.721302
2013-11-07 17:18:55,2013-11-07 17:36:54,-73.99672,40.737137,-74.00633,40.70698
2013-11-05 00:07:06,2013-11-05 00:14:32,-73.97533,40.756065,-73.987404,40.732903
2013-11-03 10:40:00,2013-11-03 10:42:00,-73.99525,40.74399,-73.989395,40.741684
2013-11-06 07:46:24,2013-11-06 07:55:10,-73.99424,40.751125,-73.97333,40.752758
2013-11-07 15:19:00,2013-11-07 15:44:00,-74.00057,40.75778,-73.97915,40.752575
2013-11-03 14:19:00,2013-11-03 14:21:00,-73.99626,40.74448,-73.99966,40.746082
2013-11-02 13:15:00,2013-11-02 13:23:00,-74.00046,40.757717,-74.00528,40.744846
2013-11-07 20:38:24,2013-11-07 20:51:21,-74.00995,40.706512,-74.00561,40.74102
2013-11-07 01:31:36,2013-11-07 01:43:04,-74.0083,40.74144,-73.98403,40.746365
2013-11-05 21:04:25,2013-11-05 21:17:48,-74.003944,40.729843,-73.978645,40.728584
2013-11-07 00:38:00,2013-11-07 00:46:00,-73.99791,40.714443,-73.98813,40.727993
2013-11-02 16:17:00,2013-11-02 16:20:00,-73.99457,40.75599,-73.999695,40.74879
2013-11-01 20:24:52,2013-11-01 20:34:03,-73.997604,40.731686,-73.99489,40.72312
2013-11-05 14:20:00,2013-11-05 14:29:00,-73.98237,40.75337,-73.994095,40.72868
2013-11-01 13:17:59,2013-11-01 13:29:04,-73.977585,40.758446,-73.98402,40.748787
2013-11-03 21:39:00,2013-11-03 21:59:00,-74.00764,40.70552,-73.98774,40.743877
2013-11-04 21:50:00,2013-11-04 21:52:00,-73.97722,40.758972,-73.97937,40.754177
2013-11-06 02:21:00,2013-11-06 02:38:00,-73.98147,40.72476,-73.994026,40.745895
2013-11-02 21:22:26,2013-11-02 21:32:46,-73.98952,40.75626,-73.99827,40.73616
2013-11-05 21:04:00,2013-11-05 21:28:00,-73.99865,40.722836,-73.99058,40.74618
2013-11-05 17:58:00,2013-11-05 18:07:00,-73.98059,40.74219,-73.970215,40.756313
2013-11-07 05:40:00,2013-11-07 05:44:00,-73.990364,40.731663,-73.994446,40.740833
2013-11-06 20:17:00,2013-11-06 20:30:00,-74.00468,40.741673,-73.97935,40.75225
2013-11-01 19:17:00,2013-11-01 19:25:00,-74.012955,40.715576,-74.00735,40.737576
2013-11-05 22:34:00,2013-11-05 22:41:00,-73.983185,40.76464,-73.97973,40.756203
2013-11-04 13:19:38,2013-11-04 13:28:08,-73.99045,40.751057,-73.99752,40.736286
2013-11-03 19:04:00,2013-11-03 19:10:00,-73.984955,40.748142,-73.97462,40.75643
2013-11-06 08:10:30,2013-11-06 08:27:57,-74.002815,40.76049,-73.97771,40.755142
2013-11-06 14:32:02,2013-11-06 14:58:31,-73.97859,40.76392,-74.00817,40.7064
2013-11-07 02:13:02,2013-11-07 02:18:31,-73.98956,40.734585,-73.993385,40.74643
2013-11-06 16:54:00,2013-11-06 17:00:00,-73.989555,40.758785,-73.99043,40.75053
2013-11-07 08:56:34,2013-11-07 09:10:11,-73.975044,40.761475,-73.99437,40.735016
2013-11-02 21:06:00,2013-11-02 21:17:00,-73.99156,40.749626,-73.97516,40.74147
2013-11-02 22:02:00,2013-11-02 22:29:00,-73.975044,40.755203,-74.00872,40.74254
2013-11-05 07:02:06,2013-11-05 07:14:30,-74.00916,40.717834,-73.981125,40.75937
2013-11-04 09:23:45,2013-11-04 09:33:15,-73.97597,40.740597,-73.975525,40.75214
2013-11-07 20:10:00,2013-11-07 20:17:00,-73.99204,40.742306,-73.97417,40.7372
2013-11-01 16:03:00,2013-11-01 16:25:00,-73.97427,40.762966,-74.01464,40.713673
2013-11-01 01:56:00,2013-11-01 02:07:00,-73.994774,40.72571,-74.00668,40.716537
2013-11-07 23:05:00,2013-11-07 23:09:00,-73.986244,40.7302,-73.99609,40.732788
2013-11-01 00:33:27,2013-11-01 00:42:37,-73.992294,40.725716,-73.98667,40.739594
2013-11-02 14:34:37,2013-11-02 14:47:53,-73.99422,40.75647,-73.98805,40.732746
2013-11-02 22:12:36,2013-11-02 22:25:57,-73.98102,40.740784,-73.97609,40.76174
2013-11-07 08:08:09,2013-11-07 08:17:06,-73.98428,40.744057,-73.98357,40.755802
2013-11-04 21:18:13,2013-11-04 21:31:28,-74.008255,40.7375,-73.98719,40.701645
2013-11-04 06:00:01,2013-11-04 06:04:00,-74.01523,40.71734,-74.010025,40.72125
2013-11-03 14:43:06,2013-11-03 14:46:21,-73.998474,40.724907,-73.999664,40.733593
2013-11-03 10:38:00,2013-11-03 10:42:00,-73.99239,40.758705,-73.99473,40.75018
2013-11-06 15:12:00,2013-11-06 15:18:00,-73.98454,40.745773,-73.9747,40.759396
2013-11-06 14:08:00,2013-11-06 14:14:00,-73.98811,40.73778,-73.975464,40.733044
2013-11-05 20:41:31,2013-11-05 20:43:55,-74.00163,40.739292,-74.00092,40.736782
2013-11-04 22:18:00,2013-11-04 22:24:00,-73.9857,40.726917,-73.9802,40.745823
2013-11-03 16:08:02,2013-11-03 16:20:53,-73.99668,40.73723,-73.98897,40.749447
2013-11-05 11:12:00,2013-11-05 11:27:00,-73.98209,40.76343,-73.98516,40.743896
2013-11-03 18:57:51,2013-11-03 19:06:55,-73.99158,40.764626,-73.9704,40.756023
