pickup_node,dropoff_node,manhattan_distance,taxi_duration
4555838659,4234425028,1656,300
4597668026,42442898,1280,240
42436069,5815643351,1324,278
4763882045,387185037,1443,360
42447249,42456583,1356,300
3944708053,5815643352,7886,1069
42444049,5235625496,1777,1380
42429830,3977886231,7639,951
4960527243,3971302314,497,240
3942050706,42445888,1646,420
5161079143,5235583558,4764,1140
4216045853,4597668039,1646,420
42435654,4557517552,2547,720
3839412209,42440323,1340,540
3004844987,42430034,3570,735
3212472811,5147808597,1758,180
4276517106,4493840519,1120,300
42436381,1773084392,1851,540
4019254385,2564031178,2625,600
42439275,5509380206,1352,480
42435599,2823833550,1174,300
42435646,4597668039,2073,600
5155816417,5829907363,914,302
42436582,42428411,4395,780
42429562,4234425012,6100,1200
5244228882,3314293707,2742,859
42435645,4625652074,1247,480
42436374,42435646,3913,540
42445534,2324482260,1177,274
4166338962,1751440889,1498,420
2823833446,5851709098,2656,204
5783022062,588455740,1017,152
42455867,42437540,4260,600
42427786,42430249,2017,360
4320194254,42430857,397,60
4216045805,5481937335,969,352
4685453642,42449570,2066,546
5413254263,42427249,4163,1079
596775882,5266421747,3592,446
4205565526,3857368436,749,120
1514353072,42444051,1943,526
42430646,3955360021,2383,1500
4205565530,5263790014,464,120
42430646,4555501892,1837,480
1279337144,4557517554,4203,777
4872626639,3252586222,2592,688
42431519,42436947,2271,803
4158814314,42434201,2331,480
42433625,3254626250,1232,180
4310400299,3463814538,1181,551
1289222429,42428460,3733,540
805765088,42434946,1615,665
42444414,42434800,5942,1200
3977886226,3942050707,714,120
42444832,42439842,3408,1020
4207957613,42430249,2972,620
3573482109,42430282,3276,1440
4234425042,3977886186,2444,540
4234578190,42427371,1363,240
3874589908,3955360015,3310,780
42453406,42439096,2918,480
4546109658,3944708044,1229,420
42437654,5244228888,2238,510
42446701,596775867,1792,360
5538485407,4960516273,2709,1047
2723627045,2824895141,8886,1589
3670742482,42434807,1639,329
5481887476,42437654,991,360
42440951,42429373,4569,817
5235625492,42445417,2288,660
2165157811,246648107,4244,1620
42436326,3971196623,6981,744
2384399598,42446971,1320,570
3859048179,589100164,2073,420
42432818,5813259903,8880,1320
1692433915,42429830,2023,660
4236104523,42421877,1117,240
